Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
4191;48,85771;2,237188;35,31606;160;0;15;0;0;2019-06-09 13:57:07.000
4192;48,85762;2,237207;35,49105;160;0;15;0;0;2019-06-09 13:57:08.000
4193;48,85704;2,237338;37,33376;161;0;15;0;0;2019-06-09 13:57:15.000
4194;48,85141;2,235643;34,54598;153;0;15;0;0;2019-06-09 13:58:32.000
4195;48,8514;2,23579;34,61821;153;0;15;0;0;2019-06-09 13:58:31.000
4196;48,85141;2,236204;34,47902;154;0;15;0;0;2019-06-09 13:58:28.000
4197;48,85144;2,23634;34,37782;154;0;15;0;0;2019-06-09 13:58:27.000
4198;48,85152;2,236586;34,19743;155;0;15;0;0;2019-06-09 13:58:25.000
4199;48,85174;2,236793;34,19705;156;0;15;0;0;2019-06-09 13:58:22.000
4200;48,85207;2,236749;35,05285;156;0;15;0;0;2019-06-09 13:58:18.000
4201;48,85215;2,236728;35,23506;157;0;15;0;0;2019-06-09 13:58:17.000
4202;48,85264;2,236751;36,76581;158;0;15;0;0;2019-06-09 13:58:11.000
4203;48,85272;2,236769;37,12887;158;0;15;0;0;2019-06-09 13:58:10.000
4204;48,85295;2,236847;38,42538;159;0;15;0;0;2019-06-09 13:58:07.000
4205;48,85342;2,237045;41,12064;160;0;15;0;0;2019-06-09 13:58:01.000
4206;48,8535;2,237075;41,16383;160;0;15;0;0;2019-06-09 13:58:00.000
4207;48,85403;2,237278;40,81569;162;0;15;0;0;2019-06-09 13:57:53.000
4208;48,85456;2,237399;39,74411;163;0;15;0;0;2019-06-09 13:57:46.000
4209;48,85508;2,237464;38,86589;164;0;15;0;0;2019-06-09 13:57:39.000
4210;48,85555;2,237489;38,94949;164;0;15;0;0;2019-06-09 13:57:33.000
4211;48,85572;2,237484;38,92791;163;0;15;0;0;2019-06-09 13:57:31.000
4212;48,85588;2,237476;38,88419;163;0;15;0;0;2019-06-09 13:57:29.000
4213;48,8563;2,237471;38,8613;163;0;15;0;0;2019-06-09 13:57:24.000
4214;48,85687;2,237384;37,9483;161;0;15;0;0;2019-06-09 13:57:17.000
4215;48,86406;2,234855;31,08678;151;0;15;0;0;2019-06-09 13:55:34.000
4216;48,86398;2,233999;31,26942;150;0;15;0;0;2019-06-09 13:55:27.000
4217;48,86384;2,23318;33,54273;150;0;15;0;0;2019-06-09 13:55:20.000
4218;48,86367;2,232621;33,78511;151;0;15;0;0;2019-06-09 13:55:15.000
4219;48,85479;2,228915;32,63171;135;0;15;0;0;2019-06-09 13:53:18.000
4220;48,85463;2,228989;32,3295;134;0;15;0;0;2019-06-09 13:53:16.000
4221;48,85433;2,229118;31,5965;133;0;15;0;0;2019-06-09 13:53:12.000
4222;48,85412;2,229231;31,27939;133;0;15;0;0;2019-06-09 13:53:09.000
4223;48,85384;2,229427;32,08695;133;0;15;0;0;2019-06-09 13:53:05.000
4224;48,85363;2,229601;32,53542;133;0;15;0;0;2019-06-09 13:53:02.000
4225;48,85336;2,229836;32,82263;130;0;15;0;0;2019-06-09 13:52:58.000
4226;48,85316;2,230031;32,96278;130;0;15;0;0;2019-06-09 13:52:55.000
4227;48,85303;2,230165;32,80228;130;0;15;0;0;2019-06-09 13:52:53.000
4228;48,85296;2,230236;32,71645;129;0;15;0;0;2019-06-09 13:52:52.000
